source_index,id_sorteo,fecha_sorteo,weekday_idx,number,freq,gap,freq_norm,gap_cap,draw_sum_mains,draw_even_mains,draw_sum_stars,draw_even_stars,is_current_star,label_next_appears
0,497602001,2004-02-13,4,1,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,2,0,-1,0.0,-1,154,3,16,0,0,1
0,497602001,2004-02-13,4,3,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,4,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,5,0,-1,0.0,-1,154,3,16,0,0,1
0,497602001,2004-02-13,4,6,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,7,1,-1,1.0,-1,154,3,16,0,1,0
0,497602001,2004-02-13,4,8,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,9,1,-1,1.0,-1,154,3,16,0,1,0
0,497602001,2004-02-13,4,10,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,11,0,-1,0.0,-1,154,3,16,0,0,0
0,497602001,2004-02-13,4,12,0,-1,0.0,-1,154,3,16,0,0,0
1,498302001,2004-02-20,4,1,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,2,1,-1,0.5,-1,156,1,7,1,1,0
1,498302001,2004-02-20,4,3,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,4,0,-1,0.0,-1,156,1,7,1,0,1
1,498302001,2004-02-20,4,5,1,-1,0.5,-1,156,1,7,1,1,1
1,498302001,2004-02-20,4,6,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,7,1,1,0.5,1,156,1,7,1,0,0
1,498302001,2004-02-20,4,8,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,9,1,1,0.5,1,156,1,7,1,0,0
1,498302001,2004-02-20,4,10,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,11,0,-1,0.0,-1,156,1,7,1,0,0
1,498302001,2004-02-20,4,12,0,-1,0.0,-1,156,1,7,1,0,0
2,499002001,2004-02-27,4,1,0,-1,0.0,-1,119,2,9,1,0,1
2,499002001,2004-02-27,4,2,1,1,0.3333333333333333,1,119,2,9,1,0,0
2,499002001,2004-02-27,4,3,0,-1,0.0,-1,119,2,9,1,0,0
2,499002001,2004-02-27,4,4,1,-1,0.3333333333333333,-1,119,2,9,1,1,0
2,499002001,2004-02-27,4,5,2,1,0.6666666666666666,1,119,2,9,1,1,1
2,499002001,2004-02-27,4,6,0,-1,0.0,-1,119,2,9,1,0,0
2,499002001,2004-02-27,4,7,1,2,0.3333333333333333,2,119,2,9,1,0,0
2,499002001,2004-02-27,4,8,0,-1,0.0,-1,119,2,9,1,0,0
2,499002001,2004-02-27,4,9,1,2,0.3333333333333333,2,119,2,9,1,0,0
2,499002001,2004-02-27,4,10,0,-1,0.0,-1,119,2,9,1,0,0
2,499002001,2004-02-27,4,11,0,-1,0.0,-1,119,2,9,1,0,0
2,499002001,2004-02-27,4,12,0,-1,0.0,-1,119,2,9,1,0,0
3,499702001,2004-03-05,4,1,1,-1,0.25,-1,120,1,6,0,1,0
3,499702001,2004-03-05,4,2,1,2,0.25,2,120,1,6,0,0,0
3,499702001,2004-03-05,4,3,0,-1,0.0,-1,120,1,6,0,0,0
3,499702001,2004-03-05,4,4,1,1,0.25,1,120,1,6,0,0,1
3,499702001,2004-03-05,4,5,3,1,0.75,1,120,1,6,0,1,1
3,499702001,2004-03-05,4,6,0,-1,0.0,-1,120,1,6,0,0,0
3,499702001,2004-03-05,4,7,1,3,0.25,3,120,1,6,0,0,0
3,499702001,2004-03-05,4,8,0,-1,0.0,-1,120,1,6,0,0,0
3,499702001,2004-03-05,4,9,1,3,0.25,3,120,1,6,0,0,0
3,499702001,2004-03-05,4,10,0,-1,0.0,-1,120,1,6,0,0,0
3,499702001,2004-03-05,4,11,0,-1,0.0,-1,120,1,6,0,0,0
3,499702001,2004-03-05,4,12,0,-1,0.0,-1,120,1,6,0,0,0
4,500402001,2004-03-12,4,1,1,1,0.2,1,158,3,9,1,0,0
4,500402001,2004-03-12,4,2,1,3,0.2,3,158,3,9,1,0,0
4,500402001,2004-03-12,4,3,0,-1,0.0,-1,158,3,9,1,0,0
4,500402001,2004-03-12,4,4,2,2,0.4,2,158,3,9,1,1,1
4,500402001,2004-03-12,4,5,4,1,0.8,1,158,3,9,1,1,0
4,500402001,2004-03-12,4,6,0,-1,0.0,-1,158,3,9,1,0,0
4,500402001,2004-03-12,4,7,1,4,0.2,4,158,3,9,1,0,0
4,500402001,2004-03-12,4,8,0,-1,0.0,-1,158,3,9,1,0,0
4,500402001,2004-03-12,4,9,1,4,0.2,4,158,3,9,1,0,1
4,500402001,2004-03-12,4,10,0,-1,0.0,-1,158,3,9,1,0,0
4,500402001,2004-03-12,4,11,0,-1,0.0,-1,158,3,9,1,0,0
4,500402001,2004-03-12,4,12,0,-1,0.0,-1,158,3,9,1,0,0
5,501102001,2004-03-19,4,1,1,2,0.16666666666666666,2,193,2,13,1,0,0
5,501102001,2004-03-19,4,2,1,4,0.16666666666666666,4,193,2,13,1,0,1
5,501102001,2004-03-19,4,3,0,-1,0.0,-1,193,2,13,1,0,0
5,501102001,2004-03-19,4,4,3,1,0.5,1,193,2,13,1,1,1
5,501102001,2004-03-19,4,5,4,1,0.6666666666666666,1,193,2,13,1,0,0
5,501102001,2004-03-19,4,6,0,-1,0.0,-1,193,2,13,1,0,0
5,501102001,2004-03-19,4,7,1,5,0.16666666666666666,5,193,2,13,1,0,0
5,501102001,2004-03-19,4,8,0,-1,0.0,-1,193,2,13,1,0,0
5,501102001,2004-03-19,4,9,2,5,0.3333333333333333,5,193,2,13,1,1,0
5,501102001,2004-03-19,4,10,0,-1,0.0,-1,193,2,13,1,0,0
5,501102001,2004-03-19,4,11,0,-1,0.0,-1,193,2,13,1,0,0
5,501102001,2004-03-19,4,12,0,-1,0.0,-1,193,2,13,1,0,0
6,501802001,2004-03-26,4,1,1,3,0.14285714285714285,3,83,2,6,2,0,0
6,501802001,2004-03-26,4,2,2,5,0.2857142857142857,5,83,2,6,2,1,1
6,501802001,2004-03-26,4,3,0,-1,0.0,-1,83,2,6,2,0,0
6,501802001,2004-03-26,4,4,4,1,0.5714285714285714,1,83,2,6,2,1,0
6,501802001,2004-03-26,4,5,4,2,0.5714285714285714,2,83,2,6,2,0,0
6,501802001,2004-03-26,4,6,0,-1,0.0,-1,83,2,6,2,0,0
6,501802001,2004-03-26,4,7,1,6,0.14285714285714285,6,83,2,6,2,0,0
6,501802001,2004-03-26,4,8,0,-1,0.0,-1,83,2,6,2,0,0
6,501802001,2004-03-26,4,9,2,1,0.2857142857142857,1,83,2,6,2,0,1
6,501802001,2004-03-26,4,10,0,-1,0.0,-1,83,2,6,2,0,0
6,501802001,2004-03-26,4,11,0,-1,0.0,-1,83,2,6,2,0,0
6,501802001,2004-03-26,4,12,0,-1,0.0,-1,83,2,6,2,0,0
7,502502001,2004-04-02,4,1,1,4,0.125,4,103,4,11,1,0,0
7,502502001,2004-04-02,4,2,3,1,0.375,1,103,4,11,1,1,1
7,502502001,2004-04-02,4,3,0,-1,0.0,-1,103,4,11,1,0,0
7,502502001,2004-04-02,4,4,4,1,0.5,1,103,4,11,1,0,0
7,502502001,2004-04-02,4,5,4,3,0.5,3,103,4,11,1,0,0
7,502502001,2004-04-02,4,6,0,-1,0.0,-1,103,4,11,1,0,0
7,502502001,2004-04-02,4,7,1,7,0.125,7,103,4,11,1,0,0
7,502502001,2004-04-02,4,8,0,-1,0.0,-1,103,4,11,1,0,1
7,502502001,2004-04-02,4,9,3,2,0.375,2,103,4,11,1,1,0
7,502502001,2004-04-02,4,10,0,-1,0.0,-1,103,4,11,1,0,0
7,502502001,2004-04-02,4,11,0,-1,0.0,-1,103,4,11,1,0,0
7,502502001,2004-04-02,4,12,0,-1,0.0,-1,103,4,11,1,0,0
8,503202001,2004-04-09,4,1,1,5,0.1111111111111111,5,57,2,10,2,0,1
